,probe,run,Tank,Ploidy,Treatment,rate,Oyster.tissue.dry.mass,Respirometry.number,blankcorrectedrates,mass_corected_rate
167,2,43,9,3C,20HS,-0.679747943,0.0051,289,-0.530579179,-0.009612137
66,2,16,1,3M,80HS,-0.489633039,0.0378,107,-0.422911565,-12.953255
191,2,47,15,2C,20HS,-0.472316262,0.0367,317,-0.323147498,-12.86965292
192,4,47,20,2M,20HS,-0.266262515,0.0328,318,-0.117093751,-8.117759604
69,2,17,11,2M,80HS,-0.478516716,0.0671,114,-0.411795242,-7.131396662
145,1,37,9,2M,20,-0.31069874,0.0436,246,-0.267518515,-7.12611789
178,2,45,9,3C,20HS,-0.936808185,0.1358,303,-0.787639421,-6.898440243
198,2,48,20,3C,20HS,-0.409381845,0.0697,324,-0.260213081,-5.873484146
61,2,15,11,3C,80HS,-0.260282447,0.0468,100,-0.185452922,-5.561590748
115,7,29,14,2M,60HS,-0.268587624,0.0537,194,-0.091256269,-5.001631732
190,1,47,15,3M,20HS,-0.203051212,0.0413,316,-0.053882448,-4.916494237
84,7,20,4,3M,60,-0.480080611,0.1042,138,-0.413359137,-4.60729953
196,1,48,15,3C,20HS,-0.211227549,0.0476,323,-0.062058785,-4.43755355
202,9,48,9,,20HS,-0.203298178,0.0473,329,-0.054129414,-4.298058732
113,2,29,4,3M,60HS,-0.551705619,0.13,191,-0.374374264,-4.243889377
106,4,27,14,2M,60HS,-0.265484222,0.0668,178,-0.088152867,-3.974314701
179,4,45,20,2M,20HS,-0.20449947,0.0565,304,-0.055330706,-3.619459646
188,8,46,20,3C,20HS,-0.188119601,0.0525,314,-0.038950837,-3.583230495
182,8,45,20,3C,20HS,-0.188779516,0.055,307,-0.039610752,-3.432354836
103,4,26,14,3C,60HS,-0.277659738,0.082,171,-0.100328383,-3.386094366
180,5,45,9,3M,20HS,-0.360877204,0.1075,305,-0.21170844,-3.356997247
7,2,2,12,3C,100,-0.137537968,0.0412,9,-0.068010989,-3.338300194
107,5,27,18,3M,60HS,-0.213991674,0.0672,179,-0.036660319,-3.184399911
201,8,48,9,3M,20HS,-0.524914301,0.1692,328,-0.375745537,-3.102330384
129,2,33,16,2M,40,-0.157404877,0.0508,219,0.019926478,-3.098521201
134,4,34,10,3M,40,-0.36379387,0.123,227,-0.186462515,-2.95767374
50,5,12,1,3M,80HS,-0.199732583,0.0708,81,-0.124903058,-2.821081681
193,7,47,20,3M,20HS,-0.175003897,0.063,320,-0.025835133,-2.777839635
114,5,29,14,3M,60HS,-0.381712696,0.1395,193,-0.204381341,-2.736291728
172,1,44,20,3C,20HS,-0.220439874,0.0809,295,-0.07127111,-2.724843931
55,7,13,1,3C,80HS,-0.140304478,0.0517,89,-0.065474953,-2.713819691
112,1,29,4,2M,60HS,-0.264755809,0.0976,190,-0.087424454,-2.712661977
200,7,48,20,2M,20HS,-0.192302582,0.0709,327,-0.043133818,-2.712307221
44,2,11,1,2M,80,-0.11184973,0.0418,72,-0.037020205,-2.675830861
105,1,27,18,3M,60HS,-0.227280936,0.085,176,-0.049949581,-2.673893365
189,9,46,15,2M,20HS,-0.163214744,0.0624,315,-0.01404598,-2.615620897
130,4,33,16,3C,40,-0.142095025,0.0544,220,0.03523633,-2.612040901
174,5,44,15,2M,20HS,-0.162983255,0.0625,298,-0.013814491,-2.60773208
199,4,48,15,3M,20HS,-0.189088302,0.0735,325,-0.039919538,-2.572629959
102,2,26,18,3M,60HS,-0.520743133,0.2027,170,-0.343411778,-2.56903371
56,2,14,11,3C,80HS,-0.399452991,0.1562,93,-0.324623466,-2.557317484
22,2,6,11,2M,80,-0.244407561,0.0974,37,-0.174880582,-2.509317875
48,2,12,11,2M,80HS,-0.222562663,0.0887,79,-0.147733138,-2.509161928
142,4,36,20,3C,20,-0.228086928,0.0928,241,-0.184906703,-2.457833276
76,7,18,14,2M,60,-0.094581521,0.0392,124,-0.027860047,-2.412793903
110,5,28,4,3C,60HS,-0.201595059,0.0843,186,-0.024263704,-2.391400463
176,8,44,9,2M,20HS,-0.231102586,0.0979,300,-0.081933822,-2.360598427
78,2,19,18,3C,60,-0.172652441,0.0736,128,-0.105930967,-2.345821209
137,1,35,16,3M,40,-0.24157742,0.103,232,-0.198397195,-2.345411845
65,1,16,11,2M,80HS,-0.17210541,0.0736,106,-0.105383936,-2.338388723
166,1,43,20,2M,20HS,-0.246744786,0.1056,288,-0.097576022,-1.082233096
187,7,46,15,3M,20HS,-0.161541246,0.0693,313,-0.012372482,-2.331042511
99,5,25,4,3C,60HS,-0.211830866,0.0915,165,-0.034499511,-2.315091432
173,2,44,9,3M,20HS,-0.377376574,0.1653,296,-0.22820781,-2.282979879
49,4,12,13,2M,80HS,-0.148135274,0.0658,80,-0.073305749,-2.251295957
19,4,5,3,2M,100,-0.155008696,0.069,31,-0.085481717,-2.246502841
194,8,47,9,3C,20HS,-0.180873973,0.0809,321,-0.031705209,-2.235772225
64,7,15,11,3M,80HS,-0.105794864,0.048,103,-0.030965339,-2.204059667
94,2,23,4,2M,60,-0.187595418,0.0864,156,-0.120873944,-2.171243264
177,9,44,15,3C,20HS,-0.188912931,0.0879,301,-0.039744167,-2.149180102
123,4,31,2,3C,40,-0.220692776,0.1029,206,-0.043361421,-2.144730573
74,4,18,18,3C,60,-0.148875785,0.0696,122,-0.082154311,-2.139019899
21,7,5,3,3C,100,-0.125337732,0.0586,33,-0.055810753,-2.138869147
127,5,32,2,2M,40,-0.118977415,0.0567,214,0.05835394,-2.098367108
117,2,30,16,3C,40,-0.450638728,0.2154,198,-0.273307373,-2.092101801
13,5,3,17,2M,100,-0.228607073,0.1096,18,-0.159080094,-2.085830958
122,2,31,16,2M,40,-0.187991267,0.0906,205,-0.010659912,-2.074958797
40,2,10,1,3M,80,-0.350773257,0.1735,65,-0.275943732,-2.021747879
181,7,45,15,2M,20HS,-0.198965335,0.0996,306,-0.049796571,-1.997643926
70,4,17,11,2C,80HS,-0.205343696,0.1057,115,-0.138622222,-1.942702895
93,1,23,14,3C,60,-0.212875517,0.1097,155,-0.146154043,-1.940524312
68,7,16,11,3C,80HS,-0.159730431,0.0836,110,-0.093008957,-1.910651089
168,4,43,9,2M,20HS,-0.209621267,0.1108,290,-0.060452503,-1.83284389
125,1,32,10,2M,40,-0.153226916,0.0828,211,0.024104439,-1.850566618
183,9,45,15,3M,20HS,-0.187190301,0.1029,308,-0.038021537,-1.819147726
132,7,33,10,2M,40,-0.107558335,0.0594,222,0.06977302,-1.81074638
97,1,25,18,3M,60HS,-0.215162359,0.1209,162,-0.037831004,-1.779672117
52,1,13,11,3C,80HS,-0.162446597,0.0914,85,-0.087617072,-1.777315066
136,7,34,10,2M,40,-0.242120754,0.1363,229,-0.064789399,-1.776381174
92,7,22,14,2M,60,-0.100530519,0.057,152,-0.033809045,-1.763693316
9,7,2,12,3M,100,-0.19256186,0.1104,12,-0.123034881,-1.744219746
108,1,28,18,3C,60HS,-0.205654298,0.118,183,-0.028322943,-1.742833034
140,5,35,2,2M,40,-0.181246328,0.1042,235,-0.138066103,-1.739408138
62,4,15,1,2M,80HS,-0.105387656,0.0617,101,-0.030558131,-1.708065737
91,4,22,18,3C,60,-0.129212159,0.0765,150,-0.062490685,-1.68904783
95,5,23,14,2M,60,-0.110048825,0.0671,158,-0.043327351,-1.640071908
169,7,43,15,3C,20HS,-0.325844618,0.1993,292,-0.176675854,-1.128054547
150,2,38,15,3M,20,-0.336236614,0.2064,254,-0.293056389,-1.629053362
2,2,1,12,2M,100,-0.171054207,0.1078,2,-0.101527228,-1.58677372
149,1,38,20,2M,20,-0.236674217,0.1517,253,-0.193493992,-1.560146454
116,1,30,16,2M,40,-0.11838769,0.0764,197,0.058943665,-1.549577094
14,2,4,12,2M,100,-0.220663695,0.1523,23,-0.151136716,-1.448875213
67,5,16,13,2M,80HS,-0.171756198,0.1198,109,-0.105034724,-1.433691135
86,2,21,18,3M,60,-0.319529351,0.2229,142,-0.252807877,-1.433509874
11,2,3,17,3C,100,-0.093680487,0.0656,16,-0.024153508,-1.428056204
87,4,21,18,3C,60,-0.3256816,0.2293,143,-0.258960126,-1.420329699
4,5,1,3,2M,100,-0.085152522,0.0601,4,-0.015625543,-1.416847288
42,7,10,11,2M,80,-0.142876194,0.1009,68,-0.068046669,-1.41601778
63,5,15,13,2M,80HS,-0.093423824,0.0665,102,-0.018594299,-1.404869534
51,7,12,13,3C,80HS,-0.15779045,0.1136,82,-0.082960925,-1.38900044
24,5,6,13,2M,80,-0.185264383,0.1335,39,-0.115737404,-1.387748187
57,4,14,1,3M,80HS,-0.152992183,0.1104,94,-0.078162658,-1.385798759
71,5,17,1,3C,80HS,-0.171053234,0.1235,116,-0.10433176,-1.385046429
39,1,10,13,3C,80,-0.213004955,0.1547,64,-0.13817543,-1.376890465
120,7,30,10,2M,40,-0.160286473,0.1186,201,0.017044882,-1.351487968
88,5,21,4,3C,60,-0.377781561,0.2809,144,-0.311060087,-1.344896978
77,1,19,14,3M,60,-0.159431773,0.1199,127,-0.092710299,-1.329706197
138,2,35,10,3C,40,-0.159106439,0.121,233,-0.115926214,-1.314929248
171,9,43,20,3M,20HS,-0.355076417,0.2732,294,-0.205907653,-1.326808385
54,5,13,1,2M,80HS,-0.113953677,0.09,88,-0.039124152,-1.266151967
1,1,1,12,3C,100,-0.285567095,0.226,1,-0.216040116,-1.263571217
126,4,32,16,3M,40,-0.08845497,0.0712,213,0.088876385,-1.242345084
10,1,3,12,2M,100,-0.096671962,0.0785,15,-0.027144983,-1.231489962
38,5,9,13,3C,80,-0.261020822,0.2133,60,-0.186191297,-1.22372631
18,1,5,12,3M,100,-0.093347301,0.0767,29,-0.023820322,-1.217044342
45,5,11,1,3C,80,-0.0563631,0.0466,74,0.018466426,-1.209508584
15,4,4,3,3M,100,-0.128852367,0.1067,24,-0.059325388,-1.207613561
36,2,9,1,2M,80,-0.11260854,0.0936,58,-0.037779015,-1.203082692
72,7,17,1,3M,80HS,-0.168532174,0.1404,117,-0.1018107,-1.20037161
100,7,25,18,3C,60HS,-0.219749434,0.1904,166,-0.042418079,-1.154146187
135,5,34,16,3C,40,-0.268035537,0.2347,228,-0.090704182,-1.14203467
60,1,15,13,3M,80HS,-0.165644241,0.1487,99,-0.090814716,-1.113949166
8,4,2,17,3C,100,-0.115374777,0.1038,10,-0.045847798,-1.111510376
143,5,36,9,3C,20,-0.187168634,0.1687,242,-0.143988409,-1.109476194
119,5,30,2,3M,40,-0.181290103,0.1635,200,-0.003958748,-1.108807969
121,1,31,2,2M,40,-0.08049414,0.0743,204,0.096837215,-1.083366622
197,1,48,15,3C,20HS,-0.211227549,0.1953,323,-0.062058785,-1.08155427
170,8,43,15,3M,20HS,-0.157793151,0.1479,293,-0.008624387,-17.14904571
101,1,26,4,2M,60HS,-0.240268905,0.2341,169,-0.06293755,-1.026351581
46,7,11,13,2M,80,-0.064365207,0.0631,75,0.010464319,-1.020050824
104,7,26,4,3M,60HS,-0.237515159,0.2394,173,-0.060183804,-0.992126813
75,5,18,14,3C,60,-0.150444653,0.152,123,-0.083723179,-0.989767454
175,7,44,20,3M,20HS,-0.199003082,0.2053,299,-0.049834318,-0.969328212
3,4,1,17,2M,100,-0.175284721,0.1838,3,-0.105757742,-0.953670952
146,4,37,15,3C,20,-0.119004326,0.1255,248,-0.075824101,-0.948241641
96,7,23,18,3M,60,-0.058047482,0.0623,159,0.008673993,-0.931741284
82,4,20,4,3C,60,-0.071469001,0.077,136,-0.004747527,-0.928168844
59,7,14,1,2M,80HS,-0.160226217,0.1738,96,-0.085396692,-0.921899983
6,1,2,17,3M,100,-0.153637169,0.1689,8,-0.08411019,-0.909633919
83,5,20,18,3C,60,-0.203332711,0.2318,137,-0.136611237,-0.877190298
53,4,13,13,2M,80HS,-0.160800198,0.1837,87,-0.085970673,-0.875341306
139,4,35,2,2M,40,-0.113768483,0.132,234,-0.070588258,-0.861882447
47,1,12,11,3M,80HS,-0.178179928,0.2082,78,-0.103350403,-0.855811374
25,7,6,1,3M,80,-0.234096338,0.2745,40,-0.164569359,-0.852809974
23,4,6,13,3C,80,-0.246374804,0.2953,38,-0.176847825,-0.834320366
31,2,8,13,3M,80,-0.134534338,0.1685,51,-0.059704813,-0.798423371
20,5,5,17,2M,100,-0.116198829,0.1457,32,-0.04667185,-0.797521132
16,5,4,12,3C,100,-0.070007337,0.0891,25,-0.000480358,-0.785716465
58,5,14,13,3M,80HS,-0.133895664,0.1711,95,-0.059066139,-0.782557943
43,1,11,11,3M,80,-0.055116394,0.0715,71,0.019713132,-0.770858657
89,1,22,18,3C,60,-0.080894436,0.1072,148,-0.014172962,-0.754612276
161,1,42,15,3C,20,-0.188883392,0.2528,281,-0.145703167,-0.747165316
17,7,4,17,3C,100,-0.08558329,0.117,26,-0.016056311,-0.731481111
73,2,18,4,3M,60,-0.128205776,0.1861,121,-0.061484302,-0.688907985
151,5,38,9,2M,20,-0.097592817,0.1487,256,-0.054412592,-0.656306772
141,2,36,20,3M,20,-0.084640871,0.1336,240,-0.041460646,-0.633539454
144,7,36,9,2M,20,-0.093685318,0.1483,243,-0.050505093,-0.631728375
33,5,8,11,2M,80,-0.043672735,0.0692,53,0.031156791,-0.631108887
158,2,41,15,3M,20,-0.08856207,0.1455,275,-0.045381845,-0.608674021
128,7,32,2,3M,40,-0.071651042,0.1179,215,0.105680313,-0.607727243
37,4,9,11,2M,80,-0.065789381,0.1086,59,0.009040145,-0.605795405
12,4,3,3,3C,100,-0.090136845,0.1532,17,-0.020609866,-0.588360607
35,1,9,1,3M,80,-0.098719067,0.1717,57,-0.023889542,-0.574950885
79,4,19,4,3C,60,-0.06867548,0.1228,129,-0.001954005,-0.55924658
81,2,20,14,2M,60,-0.091117613,0.1652,135,-0.024396139,-0.551559401
28,5,7,11,3C,80,-0.062897374,0.12,46,0.011932152,-0.524144783
26,1,7,11,3M,80,-0.079439155,0.1531,43,-0.004609629,-0.518871032
5,7,1,17,3M,100,-0.097034724,0.1871,5,-0.027507745,-0.518624928
30,1,8,13,3C,80,-0.112826569,0.2261,50,-0.037997044,-0.499011805
131,5,33,10,3M,40,-0.052480772,0.1093,221,0.124850583,-0.480153449
32,4,8,1,3M,80,-0.076929631,0.1665,52,-0.002100105,-0.462039826
118,4,30,10,3M,40,-0.079315276,0.1755,199,0.098016079,-0.451938895
85,1,21,14,3M,60,-0.08118348,0.1858,141,-0.014462006,-0.436940151
90,2,22,4,3M,60,-0.099121603,0.2272,149,-0.032400129,-0.436274661
29,7,7,13,3M,80,-0.103095179,0.2693,47,-0.028265654,-0.382826509
27,4,7,1,3C,80,-0.094298037,0.2464,45,-0.019468512,-0.382703072
80,5,19,18,3M,60,-0.037971719,0.1027,130,0.028749756,-0.369734362
152,7,38,9,3M,20,-0.093417812,0.286,257,-0.050237587,-0.326635706
133,2,34,2,3C,40,-0.055105355,0.1767,226,0.122226,-0.311858263
34,7,8,11,3M,80,-0.079477842,0.2797,54,-0.004648317,-0.284153886
41,5,10,11,3M,80,-0.05979981,0.2789,67,0.015029716,-0.214413087
148,7,37,15,3M,20,-0.015770074,0.0954,250,0.027410152,-0.165304759
109,2,28,18,2M,60HS,-0.48222457,0.082,184,-0.304893215,-3.718209939
124,5,31,10,3C,40,-0.228290918,0.1358,207,-0.050959563,-0.375254514
153,1,39,15,2M,20,-0.17299303,0.0984,260,-0.129812805,-1.319235818
154,2,39,15,3C,20,-0.09438177,0.136,261,-0.051201545,-0.376481945
155,4,39,9,3C,20,-0.213089798,0.1277,262,-0.169909573,-1.330536981
156,7,39,20,2M,20,-0.103982602,0.0617,264,-0.060802377,-0.985451807
157,1,41,20,3C,20,-0.070605918,0.0858,274,-0.027425693,-0.319646766
159,4,41,9,2M,20,-0.175288791,0.0534,276,-0.132108566,-2.473943174
160,5,41,20,3C,20,-0.052584817,0.0755,277,-0.009404592,-0.124564126
162,2,42,20,3C,20,-0.069441536,0.0425,282,-0.026261311,-0.617913188
163,4,42,20,3M,20,-0.243296672,0.1449,283,-0.200116447,-1.381065883
164,5,42,15,2M,20,-0.086320515,0.0991,284,-0.04314029,-0.435320782
165,7,42,9,3C,20,-0.077838013,0.0526,285,-0.034657788,-0.658893298
184,1,46,9,3C,20HS,-0.20520254,0.0705,309,-0.056033776,-0.794805328
185,4,46,20,2M,20HS,-0.176380555,0.0288,311,-0.027211791,-0.94485384
186,5,46,9,3M,20HS,-0.185360279,0.1245,312,-0.036191515,-0.290694896
