,Treatment,Probe,Run,probe,rate,run,Respirometry.number,Date,Time,Tank,Colour,file.letter,Notes.druing.run,Notes.during.processing,Mass,bgrd,bgrdcorrectedrate,mass_corected_rate,HS,Treatment
1,1000,9,44,9,-0.133243847,44,291,11242023,1630,3,Green,g,,,0.1731,-0.048880049,-0.084363798,0.487370293,NOHS,1000
2,1000,9,42,9,-0.1503277,42,277,11242023,1420,13,Red,e,,,0.4906,-0.048880049,-0.101447651,0.206782818,NOHS,1000
3,1000,1,43,1,-0.107364499,43,278,11242023,1510,3,Blue,f,,,0.1775,-0.048880049,-0.05848445,0.329489858,NOHS,1000
4,1000,9,41,9,-0.107494332,41,270,11242023,1310,10,Blue,d,,,0.1094,-0.048880049,-0.058614283,0.53577955,NOHS,1000
5,1000,5,42,5,-0.131120699,42,274,11242023,1420,13,Green,e,,,0.4662,-0.048880049,-0.08224065,0.17640637,NOHS,1000
6,1000,1,44,1,-0.094596667,44,285,11242023,1630,10,Green,g,,,0.2,-0.048880049,-0.045716618,0.228583089,NOHS,1000
7,1000,9,43,9,-0.549284919,43,284,11242023,1510,13,Green,f,,,0.3669,-0.048880049,-0.50040487,1.363872635,NOHS,1000
8,1000,4,41,4,-0.095599976,41,266,11242023,1310,10,Green,d,,,0.3608,-0.048880049,-0.046719927,0.129489819,NOHS,1000
9,1000,1,40,1,-0.331366627,40,257,11242023,1210,3,Red,c,,,0.2457,-0.048880049,-0.282486578,1.149721521,NOHS,1000
10,1000,2,40,2,-0.09574332,40,258,11242023,1210,3,Red,c,,,0.252,-0.048880049,-0.046863271,0.18596536,NOHS,1000
11,1000,7,40,7,-0.097012396,40,261,11242023,1210,3,Green,c,,,0.1599,-0.048880049,-0.048132347,0.301015302,NOHS,1000
12,1000,7,41,7,-0.350909025,41,268,11242023,1310,10,Red,d,,,0.3087,-0.048880049,-0.302028976,0.978389944,NOHS,1000
13,1000,8,44,8,-0.075522301,44,290,11242023,1630,3,Red,g,,,0.1849,-0.048880049,-0.026642252,0.144090058,NOHS,1000
14,1000,7,43,7,-0.099530963,43,282,11242023,1510,10,Red,f,,,0.1357,-0.048880049,-0.050650914,0.373256549,NOHS,1000
15,1000,1,42,1,-0.205293285,42,271,11242023,1420,13,Blue,e,,,0.0909,-0.048880049,-0.156413236,1.720717665,NOHS,1000
16,1000,5,40,5,-0.364001292,40,260,11242023,1210,3,Blue,c,,,0.2648,-0.048880049,-0.315121243,1.190034905,NOHS,1000
17,1000,4,40,4,-0.101066168,40,259,11242023,1210,3,Blue,c,,,0.2213,-0.048880049,-0.052186119,0.235816171,NOHS,1000
18,1000,4,42,4,-0.242819455,42,273,11242023,1420,13,Blue,e,,,0.147,-0.048880049,-0.193939406,1.319315685,NOHS,1000
19,1000,5,43,5,-0.135242652,43,281,11242023,1510,10,Blue,f,,,0.1199,-0.048880049,-0.086362603,0.720288597,NOHS,1000
20,1000,2,41,2,-0.199119594,41,265,11242023,1310,10,Green,d,,,0.1279,-0.048880049,-0.150239545,1.17466415,NOHS,1000
21,1000,8,43,8,-0.06954765,43,283,11242023,1510,13,Red,f,,,0.2123,-0.048880049,-0.020667601,0.097350922,NOHS,1000
22,1000,2,43,2,-0.09515477,43,279,11242023,1510,3,Green,f,,,0.2948,-0.048880049,-0.046274721,0.15696988,NOHS,1000
23,1000,8,42,8,-0.089440776,42,276,11242023,1420,13,Red,e,,,0.1473,-0.048880049,-0.040560727,0.275361349,NOHS,1000
24,1000,5,44,5,-0.122708883,44,288,11242023,1630,13,Green,g,,,0.352,-0.048880049,-0.073828834,0.209741005,NOHS,1000
25,1000,5,41,5,-0.391888443,41,267,11242023,1310,10,Red,d,,,0.4295,-0.048880049,-0.343008394,0.79862257,NOHS,1000
26,1000,7,44,7,-0.104165037,44,289,11242023,1630,3,Red,g,,,0.1892,-0.048880049,-0.055284988,0.292203952,NOHS,1000
27,1000,8,40,8,-0.086458286,40,262,11242023,1210,3,Green,c,,,0.7376,-0.048880049,-0.037578237,0.050946633,NOHS,1000
28,1000,4,44,4,-0.061777345,44,287,11242023,1630,13,Blue,g,,,0.1097,-0.048880049,-0.012897296,0.117568785,NOHS,1000
29,1000,2,44,2,-0.084718141,44,286,11242023,1630,13,Blue,g,,,0.1995,-0.048880049,-0.035838092,0.179639558,NOHS,1000
30,1000,7,42,7,-0.113494169,42,275,11242023,1420,13,Green,e,,,0.3406,-0.048880049,-0.06461412,0.189706752,NOHS,1000
31,1000,8,41,8,-0.41572494,41,269,11242023,1310,10,Blue,d,,,0.2069,-0.048880049,-0.366844891,1.773054088,NOHS,1000
32,1000HS,1,48,1,-0.297366603,48,313,11252023,1000,13HS,Red,b,,,0.2192,-0.197436559,-0.099930044,0.455885235,HS,1000
33,1000HS,1,46,1,-0.572782947,46,299,11242023,1830,3HS,Blue,h,Use the lastest part of this run as possible,,0.5389,-0.197436559,-0.375346388,0.696504709,HS,1000
34,1000HS,7,48,7,-0.599566428,48,317,11252023,1000,10HS,Blue,b,,,0.0796,-0.197436559,-0.402129869,5.051882771,HS,1000
35,1000HS,1,47,1,-0.330396696,47,306,11252023,900,10HS,Green,a,,,0.3097,-0.197436559,-0.132960137,0.429319136,HS,1000
36,1000HS,8,49,8,-0.242625603,49,325,11252023,1110,13HS,Green,c,,,0.2422,-0.197436559,-0.045189044,0.186577389,HS,1000
37,1000HS,1,49,1,-0.257497631,49,320,11252023,1110,3HS,Red,c,,,0.1836,-0.197436559,-0.060061072,0.327130019,HS,1000
38,1000HS,1,50,1,-0.240198154,50,327,11252023,1210,13HS,Blue,d,,,0.1374,-0.197436559,-0.042761595,0.311219757,HS,1000
39,1000HS,4,45,4,-0.21905084,45,294,11242023,1730,13HS,Green,g,,,0.5703,-0.197436559,-0.021614281,0.037899843,HS,1000
40,1000HS,2,49,2,-0.224324398,49,321,11252023,1110,3HS,Green,c,,,0.2664,-0.197436559,-0.026887839,0.100930325,HS,1000
41,1000HS,4,49,4,-0.26121884,49,322,11252023,1110,3HS,Blue,c,,,0.223,-0.197436559,-0.063782281,0.286019195,HS,1000
42,1000HS,5,45,5,-0.341704033,45,295,11242023,1730,3HS,Red,g,,,0.5007,-0.197436559,-0.144267474,0.288131563,HS,1000
43,1000HS,5,46,5,-1.085560653,46,302,11242023,1830,10HS,Red,h,,,0.3166,-0.197436559,-0.888124094,2.805192968,HS,1000
44,1000HS,5,47,5,-0.398487443,47,309,11252023,900,13HS,Red,a,,,0.2049,-0.197436559,-0.201050884,0.981214659,HS,1000
45,1000HS,1,46,1,-0.572782947,46,299,11242023,1830,3HS,Blue,h,Use the lastest part of this run as possible,,0.2952,-0.197436559,-0.375346388,1.271498603,HS,1000
46,1000HS,5,49,5,-0.723645834,49,323,11252023,1110,13HS,Red,c,,,0.1685,-0.197436559,-0.526209275,3.122903707,HS,1000
47,1000HS,4,46,4,-0.297657884,46,301,11242023,1830,3HS,Red,h,,,0.2494,-0.197436559,-0.100221325,0.401849738,HS,1000
48,1000HS,4,47,4,-0.294983851,47,308,11252023,900,13HS,Red,a,,,0.1615,-0.197436559,-0.097547292,0.604007997,HS,1000
49,1000HS,7,45,7,-0.40809549,45,296,11242023,1730,3HS,Green,g,,,0.5459,-0.197436559,-0.210658931,0.385892894,HS,1000
50,1000HS,7,46,7,-0.32490686,46,303,11242023,1830,10HS,Blue,h,,,0.0907,-0.197436559,-0.127470301,1.405405739,HS,1000
51,1000HS,7,47,7,-0.450490915,47,310,11252023,900,3HS,Green,a,,,0.5217,-0.197436559,-0.253054356,0.485057227,HS,1000
52,1000HS,8,45,8,-0.290539502,45,297,11242023,1730,10HS,Blue,g,,,0.3389,-0.197436559,-0.093102943,0.274720987,HS,1000
53,1000HS,8,46,8,-0.21365463,46,304,11242023,1830,13HS,Green,h,,,0.2191,-0.197436559,-0.016218071,0.074021317,HS,1000
54,1000HS,8,47,8,-0.326545437,47,311,11252023,900,3HS,Blue,a,,,0.354,-0.197436559,-0.129108878,0.364714343,HS,1000
55,1000HS,8,48,8,-0.322469837,48,318,11252023,1000,3HS,Blue,b,,,0.1265,-0.197436559,-0.125033278,0.988405356,HS,1000
56,1000HS,9,45,9,-0.414489802,45,298,11242023,1730,10HS,Green,g,,,0.2322,-0.197436559,-0.217053243,0.934768487,HS,1000
57,1000HS,9,46,9,-0.43658427,46,305,11242023,1830,13HS,Blue,h,,,0.1728,-0.197436559,-0.239147711,1.383956658,HS,1000
58,1000HS,9,48,9,-0.518642592,48,319,11252023,1000,3HS,Red,b,,,0.1097,-0.197436559,-0.321206033,2.928040406,HS,1000
59,1000HS,9,49,9,-0.790564866,49,326,11252023,1110,13HS,Blue,c,,,0.1688,-0.197436559,-0.593128307,3.513793285,HS,1000
60,1000HS,4,48,4,-0.283790535,48,315,11252023,1000,10HS,Red,b,,,0.1291,-0.197436559,-0.086353976,0.668892142,HS,1000
61,1000HS,2,45,2,-0.350306666,45,293,11242023,1730,13HS,Blue,g,,,NA,-0.197436559,-0.152870107,NA,HS,1000
62,1000HS,2,47,2,-0.244746796,47,307,11252023,900,10HS,Red,a,,,0.1969,-0.197436559,-0.047310237,0.240275452,HS,1000
63,1000HS,2,48,2,-0.238332519,48,314,11252023,1000,13HS,Green,b,,,0.124,-0.197436559,-0.04089596,0.329806126,HS,1000
64,250,5,17,5,-0.098097937,17,106,11222023,940,16,Blue,a,,,0.3418,-0.090949734,-0.007148203,0.020913408,NOHS,250
65,250,4,17,4,-0.103827651,17,105,11222023,940,16,Blue,a,,,0.2525,-0.090949734,-0.012877917,0.051001651,NOHS,250
66,250,4,18,4,-0.074733893,18,112,11222023,1100,11,Red,b,,,0.2125,-0.090949734,0.016215841,0,NOHS,250
67,250,2,16,2,-0.225527502,16,97,11212023,1800,6,Blue,i,,,0.18,-0.090949734,-0.134577768,0.747654267,NOHS,250
68,250,1,22,1,-0.336736238,22,131,11222023,1415,11,Red,f,,,0.2069,-0.090949734,-0.245786504,1.187948304,NOHS,250
69,250,2,18,2,-0.132198404,18,111,11222023,1100,11,Red,b,,,0.4299,-0.090949734,-0.04124867,0.095949453,NOHS,250
70,250,5,18,5,-0.214803826,18,113,11222023,1100,11,Green,b,,,0.5614,-0.090949734,-0.123854092,0.22061648,NOHS,250
71,250,1,20,1,-0.162444381,20,117,11222023,1217,6,Red,d,,,0.2861,-0.090949734,-0.071494647,0.249893908,NOHS,250
72,250,4,16,4,-0.397389232,16,98,11212023,1800,6,Green,i,,,0.3415,-0.090949734,-0.306439498,0.897333816,NOHS,250
73,250,8,18,8,-0.082293785,18,115,11222023,1100,11,Blue,b,,,0.2885,-0.090949734,0.008655949,0,NOHS,250
74,250,2,22,2,-0.270017353,22,132,11222023,1415,11,Blue,f,,,0.2319,-0.090949734,-0.179067619,0.77217602,NOHS,250
75,250,8,22,8,-0.186886373,22,136,11222023,1415,6,Green,f,,,0.3326,-0.090949734,-0.095936639,0.288444495,NOHS,250
76,250,4,20,4,-0.471877842,20,119,11222023,1217,6,Blue,d,,,0.9544,-0.090949734,-0.380928108,0.399128361,NOHS,250
77,250,9,22,9,-0.663999616,22,137,11222023,1415,6,Green,f,,,0.3859,-0.090949734,-0.573049882,1.484969894,NOHS,250
78,250,8,21,8,-0.053461093,21,129,11222023,1320,11,Green,e,,,0.4813,-0.090949734,0.037488641,0,NOHS,250
79,250,7,17,7,-0.124318318,17,107,11222023,940,16,Red,a,,,0.4733,-0.090949734,-0.033368584,0.070501973,NOHS,250
80,250,4,22,4,-0.388132085,22,133,11222023,1415,16,Red,f,,,0.2465,-0.090949734,-0.297182351,1.205607915,NOHS,250
81,250,2,21,2,-0.13025597,21,125,11222023,1320,16,Green,e,,,0.3132,-0.090949734,-0.039306236,0.125498838,NOHS,250
82,250,2,17,2,-0.418727132,17,104,11222023,940,16,Green,a,,,0.3281,-0.090949734,-0.327777398,0.999016757,NOHS,250
83,250,5,16,5,-0.150532501,16,99,11212023,1800,6,Blue,i,,,0.1527,-0.090949734,-0.059582767,0.390194938,NOHS,250
84,250,1,21,1,-0.420137257,21,124,11222023,1320,16,Red,e,,,0.244,-0.090949734,-0.329187523,1.349129193,NOHS,250
85,250,9,16,9,-0.018169116,16,102,11212023,1800,6,Red,i,,,0.4177,-0.090949734,0.072780618,0,NOHS,250
86,250,8,20,8,-0.093636284,20,122,11222023,1217,16,Blue,d,,,0.1993,-0.090949734,-0.00268655,0.01347993,NOHS,250
87,250,5,20,5,-0.196746411,20,120,11222023,1217,11,Green,d,,,0.3121,-0.090949734,-0.105796677,0.338983265,NOHS,250
88,250,9,21,9,-0.191935916,21,130,11222023,1320,11,Blue,e,,,0.4004,-0.090949734,-0.100986182,0.252213242,NOHS,250
89,250,7,20,7,-0.421622069,20,121,11222023,1217,11,Red,d,,,0.1617,-0.090949734,-0.330672335,2.044974242,NOHS,250
90,250,7,18,7,-0.201769925,18,114,11222023,1100,11,Green,b,,,0.5147,-0.090949734,-0.110820191,0.21531026,NOHS,250
91,250,1,17,1,-0.114692306,17,103,11222023,940,16,Green,a,MOved table at 16 minutes in because of safety inspection,,0.3612,-0.090949734,-0.023742572,0.065732481,NOHS,250
92,250,9,18,9,-0.096999053,18,116,11222023,1100,11,Blue,b,,,0,-0.090949734,-0.006049319,Inf,NOHS,250
93,250,7,22,7,-0.736649961,22,135,11222023,1415,16,Blue,f,,,0.3791,-0.090949734,-0.645700227,1.703245125,NOHS,250
94,250,9,17,9,-0.11224153,17,109,11222023,940,16,Red,a,,,0.3349,-0.090949734,-0.021291796,0.063576578,NOHS,250
95,250,1,16,1,-0.314215397,16,96,11212023,1800,6,Red,i,,,0.3045,-0.090949734,-0.223265663,0.733220568,NOHS,250
96,250,9,20,9,-0.645021555,20,123,11222023,1217,16,Green,d,,,0.3335,-0.090949734,-0.554071821,1.661384771,NOHS,250
97,250,7,21,7,-0.442259564,21,128,11222023,1320,6,Red,e,,,0.2959,-0.090949734,-0.35130983,1.187258635,NOHS,250
98,250,8,16,8,-0.656703141,16,101,11212023,1800,6,Green,i,,,0.4507,-0.090949734,-0.565753407,1.25527714,NOHS,250
99,250,5,21,5,-0.536014135,21,127,11222023,1320,6,Blue,e,,,0.2789,-0.090949734,-0.445064401,1.595784873,NOHS,250
100,500,1,26,1,-0.166356022,26,159,11232023,845,2,Red,a,,,0.2201,-0.101560953,-0.064795069,0.294389227,NOHS,500
101,500,4,23,4,-0.335394498,23,140,11222023,1545,2,Blue,g,,,0.1608,-0.101560953,-0.233833545,1.454188712,NOHS,500
102,500,9,27,9,-0.168937277,27,172,11232023,855,15,Blue,b,,,0.1753,-0.101560953,-0.067376324,0.384348682,NOHS,500
103,500,4,27,4,-0.139582454,27,168,11232023,855,2,Green,b,,,0.5218,-0.101560953,-0.038021501,0.072866042,NOHS,500
104,500,1,25,1,-0.116741358,25,152,11222023,1825,15,Blue,i,,,0.29,-0.101560953,-0.015180405,0.052346224,NOHS,500
105,500,2,25,2,-0.236352505,25,153,11222023,1825,15,Blue,i,,,0.1453,-0.101560953,-0.134791552,0.927677577,NOHS,500
106,500,2,27,2,-0.207724448,27,167,11232023,855,15,Red,b,,,0.1838,-0.101560953,-0.106163495,0.577603345,NOHS,500
107,500,4,24,4,-0.45408955,24,147,11222023,1700,15,Green,h,,Only opened towards the end,0.7817,-0.101560953,-0.352528597,0.450976841,NOHS,500
108,500,2,28,2,-0.095542385,28,174,11232023,1000,9,Blue,c,,,0.0943,-0.101560953,0.006018568,0,NOHS,500
109,500,5,23,5,-0.260819942,23,141,11222023,1545,2,Blue,g,,,0.214,-0.101560953,-0.159258989,0.744200883,NOHS,500
110,500,1,27,1,-0.099528214,27,166,11232023,855,15,Red,b,,,0.2959,-0.101560953,0.002032739,0,NOHS,500
111,500,8,26,8,-0.138883892,26,164,11232023,845,15,Green,a,,,0.2446,-0.101560953,-0.037322939,0.152587649,NOHS,500
112,500,4,25,4,-0.313764752,25,154,11222023,1825,15,Green,i,,,0.2603,-0.101560953,-0.212203799,0.81522781,NOHS,500
113,500,2,23,2,-0.171006059,23,139,11222023,1545,2,Red,g,,,0.3327,-0.101560953,-0.069445106,0.208731908,NOHS,500
114,500,2,24,2,-0.396936453,24,146,11222023,1700,9,Blue,h,,,0.2775,-0.101560953,-0.2953755,1.064416216,NOHS,500
115,500,2,26,2,-0.154469143,26,160,11232023,845,2,Green,a,,,0.2452,-0.101560953,-0.05290819,0.215775652,NOHS,500
116,500,1,23,1,-0.165600612,23,138,11222023,1545,2,Red,g,,,0.4983,-0.101560953,-0.064039659,0.128516273,NOHS,500
117,500,7,26,7,-0.181101069,26,163,11232023,845,15,Blue,a,,,0.1796,-0.101560953,-0.079540116,0.442873696,NOHS,500
118,500,1,24,1,-0.331065526,24,145,11222023,1700,9,Blue,h,,,0.2452,-0.101560953,-0.229504573,0.935989286,NOHS,500
119,500,7,28,7,-0.444900511,28,177,11232023,1000,2,Blue,c,,,0.1903,-0.101560953,-0.343339558,1.804201565,NOHS,500
120,500,5,25,5,-0.602437328,25,155,11222023,1825,15,Green,i,,,0.2416,-0.101560953,-0.500876375,2.073163803,NOHS,500
121,500,9,24,9,-0.464948147,24,151,11222023,1700,9,Red,h,,,0.1774,-0.101560953,-0.363387194,2.048405828,NOHS,500
122,500,5,26,5,-0.220291059,26,162,11232023,845,9,Red,a,,,0.2464,-0.101560953,-0.118730106,0.481859196,NOHS,500
123,500,8,28,8,-0.111522308,28,178,11232023,1000,2,Blue,c,,,0.1656,-0.101560953,-0.009961355,0.060153109,NOHS,500
124,500,4,26,4,-0.317268471,26,161,11232023,845,9,Blue,a,,,0.1824,-0.101560953,-0.215707518,1.182607006,NOHS,500
125,500,9,23,9,-0.204640916,23,144,11222023,1545,2,Green,g,,,0.4077,-0.101560953,-0.103079963,0.252832874,NOHS,500
126,500,7,24,7,-0.149805938,24,149,11222023,1700,9,Red,h,,,0.0796,-0.101560953,-0.048244985,0.606092775,NOHS,500
127,500,7,25,7,-0.37707573,25,156,11222023,1825,15,Red,i,,,0.3987,-0.101560953,-0.275514777,0.691032799,NOHS,500
128,500,5,24,5,-1.222444449,24,148,11222023,1700,15,Green,h,,Only opened towards the end,0.583,-0.101560953,-1.120883496,1.9226132,NOHS,500
129,500,7,27,7,-0.135995167,27,170,11232023,855,9,Red,b,,,0.1883,-0.101560953,-0.034434214,0.1828689,NOHS,500
130,500,8,23,8,-0.152463778,23,143,11222023,1545,2,Green,g,,,0.3906,-0.101560953,-0.050902825,0.130319572,NOHS,500
131,500,8,25,8,-0.275814713,25,157,11222023,1825,15,Red,i,,,0.3039,-0.101560953,-0.17425376,0.573391773,NOHS,500
132,500,5,27,5,-0.218281483,27,169,11232023,855,2,Red,b,,,0.3683,-0.101560953,-0.11672053,0.316916997,NOHS,500
133,500HS,1,30,1,-0.169010277,30,187,11232023,1210,15HS,Red,e,,,0.5025,-0.115817107,-0.05319317,0.105857055,HS,500
134,500HS,4,29,4,-0.131929055,29,182,11232023,1107,15HS,Red,d,,,0.4124,-0.115817107,-0.016111948,0.03906874,HS,500
135,500HS,9,29,9,-0.663601384,29,186,11232023,1107,9HS,Blue,d,,,0.2108,-0.115817107,-0.547784277,2.59859714,HS,500
