,contrast,,,,,,,Treatment match,Time Match,Ploidy match,,,,,estimate,SE,df,t.ratio,p.value
1,Diploid,1_start,1000,Mated_trip,1_start,1000,,TRUE,TRUE,FALSE,,,,,-8.529999991,1.63615622,1091,-5.2134386,9.15E-05
2,Diploid,1_start,1000,Mated_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,-8.274666667,1.645121662,10,-5.029820503,0.043139339
3,Induced_trip,1_start,1000,Mated_trip,1_start,1000,,TRUE,TRUE,FALSE,,,,,-10.15955555,1.63615622,1091,-6.209404349,3.26E-07
4,Induced_trip,1_start,1000,Mated_trip,1_start,250,,FALSE,TRUE,FALSE,,,,,-9.640666667,1.645121662,10,-5.860154229,0.015382397
5,Induced_trip,1_start,1000,Mated_trip,1_start,500,,FALSE,TRUE,FALSE,,,,,-8.950666667,1.645121662,10,-5.440732361,0.025774841
6,Induced_trip,1_start,1000,Mated_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,-9.904222222,1.645121662,10,-6.020358523,0.012669976
7,Mated_trip,1_start,1000,Diploid,2_end,1000,,TRUE,FALSE,FALSE,,,,,11.51080001,1.938962902,1091,5.936575681,1.67E-06
8,Mated_trip,1_start,1000,Induced_trip,2_end,1000,,TRUE,FALSE,FALSE,,,,,14.48103449,1.850299211,1091,7.826320416,5.06E-12
9,Mated_trip,1_start,1000,Diploid,1_start,250,,FALSE,TRUE,FALSE,,,,,9.046444436,1.636156357,10,5.529083085,0.023098114
10,Mated_trip,1_start,1000,Induced_trip,1_start,250,,FALSE,TRUE,FALSE,,,,,11.07933332,1.636156357,10,6.771561459,0.005240928
11,Mated_trip,1_start,1000,Diploid,2_end,250,,FALSE,FALSE,FALSE,,,,,11.46550001,1.687056365,10,6.79615705,0.005095643
12,Mated_trip,1_start,1000,Induced_trip,2_end,250,,FALSE,FALSE,FALSE,,,,,12.69114279,1.750325611,10,7.250732499,0.003059164
13,Mated_trip,1_start,1000,Diploid,1_start,500,,FALSE,TRUE,FALSE,,,,,9.247111102,1.636156357,10,5.65172825,0.019852253
14,Mated_trip,1_start,1000,Induced_trip,1_start,500,,FALSE,TRUE,FALSE,,,,,9.593999991,1.636156357,10,5.863742761,0.015315388
15,Mated_trip,1_start,1000,Diploid,2_end,500,,FALSE,FALSE,FALSE,,,,,11.03060605,1.780192371,10,6.196300035,0.01026168
16,Mated_trip,1_start,1000,Induced_trip,2_end,500,,FALSE,FALSE,FALSE,,,,,11.06107134,1.870454732,10,5.913573397,0.014415887
17,Mated_trip,1_start,1000,Diploid,1_start,750,,FALSE,TRUE,FALSE,,,,,9.301333324,1.636156357,10,5.684868251,0.019059429
18,Mated_trip,1_start,1000,Induced_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,10.81288888,1.636156357,10,6.60871367,0.006321305
19,Mated_trip,1_start,1000,Diploid,2_end,750,,FALSE,FALSE,FALSE,,,,,8.815714392,1.750325612,10,5.036613947,0.042771252
20,Mated_trip,1_start,1000,Induced_trip,2_end,750,,FALSE,FALSE,FALSE,,,,,10.97000003,1.831287482,10,5.990321092,0.013137395
21,Mated_trip,1_start,1000,Diploid,1_start,CTRL,,FALSE,TRUE,FALSE,,,,,8.993999991,1.636156357,10,5.497029642,0.024034227
22,Mated_trip,1_start,1000,Diploid,2_end,CTRL,,FALSE,FALSE,FALSE,,,,,12.05074993,1.68705637,10,7.143062997,0.003446598
23,Mated_trip,1_start,1000,Induced_trip,2_end,CTRL,,FALSE,FALSE,FALSE,,,,,11.18575001,1.687056364,10,6.630335682,0.006165144
24,Diploid,2_end,1000,Mated_trip,1_start,250,,FALSE,FALSE,FALSE,,,,,-10.99191113,1.946534161,10,-5.646914064,0.019970255
25,Diploid,2_end,1000,Mated_trip,1_start,500,,FALSE,FALSE,FALSE,,,,,-10.30191113,1.946534161,10,-5.292437881,0.031012618
26,Diploid,2_end,1000,Mated_trip,1_start,750,,FALSE,FALSE,FALSE,,,,,-11.25546669,1.946534161,10,-5.782311408,0.016914121
27,Induced_trip,2_end,1000,Mated_trip,1_start,250,,FALSE,FALSE,FALSE,,,,,-13.96214561,1.85823176,10,-7.513672895,0.002295935
28,Induced_trip,2_end,1000,Mated_trip,2_end,250,,FALSE,TRUE,FALSE,,,,,-9.509412849,1.935358303,10,-4.913515412,0.049965482
29,Induced_trip,2_end,1000,Mated_trip,1_start,500,,FALSE,FALSE,FALSE,,,,,-13.27214561,1.85823176,10,-7.142352151,0.003449324
30,Induced_trip,2_end,1000,Mated_trip,2_end,500,,FALSE,TRUE,FALSE,,,,,-11.88484408,2.235968218,10,-5.315300991,0.030138398
31,Induced_trip,2_end,1000,Mated_trip,1_start,750,,FALSE,FALSE,FALSE,,,,,-14.22570116,1.85823176,10,-7.655504265,0.001971513
32,Diploid,1_start,250,Mated_trip,1_start,250,,TRUE,TRUE,FALSE,,,,,-8.527555556,1.645121526,1091,-5.183541409,0.00010674
33,Diploid,1_start,250,Mated_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,-8.791111111,1.645121662,10,-5.343745276,0.02908613
34,Induced_trip,1_start,250,Mated_trip,1_start,250,,TRUE,TRUE,FALSE,,,,,-10.56044444,1.645121526,1091,-6.419248837,8.82E-08
35,Induced_trip,1_start,250,Mated_trip,1_start,500,,FALSE,TRUE,FALSE,,,,,-9.870444444,1.645121662,10,-5.999826439,0.01298755
36,Induced_trip,1_start,250,Mated_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,-10.824,1.645121662,10,-6.579452601,0.006539362
37,Mated_trip,1_start,250,Diploid,2_end,250,,TRUE,FALSE,FALSE,,,,,10.94661113,1.695752456,1091,6.455311971,7.02E-08
38,Mated_trip,1_start,250,Induced_trip,2_end,250,,TRUE,FALSE,FALSE,,,,,12.17225391,1.75870889,1091,6.9211306,3.31E-09
39,Mated_trip,1_start,250,Diploid,1_start,500,,FALSE,TRUE,FALSE,,,,,8.728222222,1.645121662,10,5.305517775,0.030509328
40,Mated_trip,1_start,250,Induced_trip,1_start,500,,FALSE,TRUE,FALSE,,,,,9.075111111,1.645121662,10,5.516376885,0.023464583
41,Mated_trip,1_start,250,Diploid,2_end,500,,FALSE,FALSE,FALSE,,,,,10.51171717,1.78843578,10,5.877603931,0.015059418
42,Mated_trip,1_start,250,Induced_trip,2_end,500,,FALSE,FALSE,FALSE,,,,,10.54218246,1.878302043,10,5.612612998,0.02083246
43,Mated_trip,1_start,250,Diploid,1_start,750,,FALSE,TRUE,FALSE,,,,,8.782444444,1.645121662,10,5.338477175,0.029278118
44,Mated_trip,1_start,250,Induced_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,10.294,1.645121662,10,6.257287978,0.0095439
45,Mated_trip,1_start,250,Induced_trip,2_end,750,,FALSE,FALSE,FALSE,,,,,10.45111115,1.839301907,10,5.682107496,0.019124197
46,Mated_trip,1_start,250,Diploid,1_start,CTRL,,FALSE,TRUE,FALSE,,,,,8.475111111,1.645121662,10,5.151662217,0.037002216
47,Mated_trip,1_start,250,Diploid,2_end,CTRL,,FALSE,FALSE,FALSE,,,,,11.53186105,1.695752593,10,6.8004384,0.005070794
48,Mated_trip,1_start,250,Induced_trip,2_end,CTRL,,FALSE,FALSE,FALSE,,,,,10.66686113,1.695752587,10,6.290340471,0.009177241
49,Diploid,2_end,250,Mated_trip,1_start,500,,FALSE,FALSE,FALSE,,,,,-10.25661113,1.695752588,10,-6.048412487,0.012249204
50,Diploid,2_end,250,Mated_trip,1_start,750,,FALSE,FALSE,FALSE,,,,,-11.21016668,1.695752588,10,-6.610732464,0.006306548
51,Induced_trip,2_end,250,Mated_trip,2_end,250,,TRUE,TRUE,FALSE,,,,,-7.719521153,1.840011803,1091,-4.195365018,0.00999516
52,Induced_trip,2_end,250,Mated_trip,1_start,500,,FALSE,FALSE,FALSE,,,,,-11.48225391,1.758709017,10,-6.528796863,0.006935957
53,Induced_trip,2_end,250,Mated_trip,1_start,750,,FALSE,FALSE,FALSE,,,,,-12.43580947,1.758709017,10,-7.070987497,0.003735091
54,Diploid,1_start,500,Mated_trip,1_start,500,,TRUE,TRUE,FALSE,,,,,-8.038222222,1.645121526,1091,-4.886096312,0.000470436
55,Diploid,1_start,500,Mated_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,-8.991777778,1.645121662,10,-5.46572207,0.024986608
56,Induced_trip,1_start,500,Mated_trip,1_start,500,,TRUE,TRUE,FALSE,,,,,-8.385111111,1.645121526,1091,-5.096955439,0.000165976
57,Induced_trip,1_start,500,Mated_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,-9.338666667,1.645121662,10,-5.67658118,0.019254536
58,Mated_trip,1_start,500,Diploid,2_end,500,,TRUE,FALSE,FALSE,,,,,9.821717169,1.788435655,1091,5.491792307,2.08E-05
59,Mated_trip,1_start,500,Induced_trip,2_end,500,,TRUE,FALSE,FALSE,,,,,9.852182463,1.878301924,1091,5.245260273,7.76E-05
60,Mated_trip,1_start,500,Diploid,1_start,750,,FALSE,TRUE,FALSE,,,,,8.092444444,1.645121662,10,4.919055307,0.049616732
61,Mated_trip,1_start,500,Induced_trip,1_start,750,,FALSE,TRUE,FALSE,,,,,9.604,1.645121662,10,5.83786611,0.015805523
62,Mated_trip,1_start,500,Induced_trip,2_end,750,,FALSE,FALSE,FALSE,,,,,9.76111115,1.839301907,10,5.306965167,0.030454155
63,Mated_trip,1_start,500,Diploid,2_end,CTRL,,FALSE,FALSE,FALSE,,,,,10.84186105,1.695752593,10,6.39353942,0.008125241
64,Mated_trip,1_start,500,Induced_trip,2_end,CTRL,,FALSE,FALSE,FALSE,,,,,9.976861128,1.695752587,10,5.88344149,0.014952963
65,Diploid,2_end,500,Mated_trip,2_end,500,,TRUE,TRUE,FALSE,,,,,-8.434415644,2.178309119,1091,-3.872001256,0.033836643
66,Diploid,2_end,500,Mated_trip,1_start,750,,FALSE,FALSE,FALSE,,,,,-10.77527272,1.78843578,10,-6.02497045,0.012599772
67,Induced_trip,2_end,500,Mated_trip,1_start,750,,FALSE,FALSE,FALSE,,,,,-10.80573802,1.878302043,10,-5.752928852,0.017533066
68,Diploid,1_start,750,Mated_trip,1_start,750,,TRUE,TRUE,FALSE,,,,,-9.046,1.645121526,1091,-5.498681924,2.01E-05
69,Induced_trip,1_start,750,Mated_trip,1_start,750,,TRUE,TRUE,FALSE,,,,,-10.55755556,1.645121526,1091,-6.417492803,8.92E-08
70,Mated_trip,1_start,750,Diploid,2_end,750,,TRUE,FALSE,FALSE,,,,,8.560381067,1.758708891,1091,4.867423547,0.000514707
71,Mated_trip,1_start,750,Induced_trip,2_end,750,,TRUE,FALSE,FALSE,,,,,10.71466671,1.839301785,1091,5.82539896,3.20E-06
72,Mated_trip,1_start,750,Diploid,1_start,CTRL,,FALSE,TRUE,FALSE,,,,,8.738666667,1.645121662,10,5.311866512,0.030268083
73,Mated_trip,1_start,750,Diploid,2_end,CTRL,,FALSE,FALSE,FALSE,,,,,11.79541661,1.695752593,10,6.955859395,0.004250776
74,Mated_trip,1_start,750,Induced_trip,2_end,CTRL,,FALSE,FALSE,FALSE,,,,,10.93041668,1.695752587,10,6.445761467,0.007642274
